"","cat","count","sales.price","market.val","assessed.val","exempt.val","prop.tax","tax.units","sales.units","tax.rate","tax.rate2_mean","sd.tax.rate2","tax.var","av_price","X10.","X25.","X50.","X75.","X90."
"1","0-100",2,3945000,31854000,13982252,7008678,896452.94,106,106,2.814,24.1385,8.26395695172718,0.342355861040544,37216.9811320755,19.4637,21.21675,24.1385,27.06025,28.8133
"3","100-250",495,97801013,30852185,12372878,3303723,1165840.12,573,495,4.18366666666667,1.24185656565657,1.25711707397702,1.01228846288894,197577.804040404,0.2398,0.725,1.006,1.391,1.9262
"6","250-500",2090,812058374,221364923,88444392,51743449,4717906.26,2558,2090,2.64038995215311,0.598488995215311,0.621469477345306,1.0383975015643,388544.676555024,0.0369,0.074,0.49,0.95675,1.3443
"9","500-750",1930,1212289938,271612639,109269287,51516310,7424145.24,2094,1930,2.75220518134715,0.609389119170984,0.611293969073778,1.00312583510744,628129.501554404,0.026,0.065,0.443,1.095,1.4241
"11","750-1m",1522,1336710280,274388398,108662310,41207506,8671315.08,1604,1522,3.05357133464826,0.64807555847569,0.568258688528343,0.876840178736133,878259.053876478,0.022,0.07025,0.654,1.05,1.347
"5","1m-1.5m",1516,1891479125,355678014,141520977,43104773,12651402.94,1680,1516,3.50126319261214,0.6680672823219,0.470340012632672,0.704030903890373,1247677.52308707,0.0305,0.233,0.7085,0.995,1.252
"2","1.5m-2m",966,1676216590,307079344,123682240,33796174,11554853.63,1228,966,3.78416476683938,0.686079710144928,0.417001717000875,0.607803598961974,1735213.86128364,0.0495,0.38325,0.6905,0.99375,1.213
"7","2m-3m",882,2159732035,365671656,146437820,36522667,14129592.9,1052,882,3.97337414965986,0.655616780045352,0.383972746135535,0.585666440857378,2448675.77664399,0.1551,0.40825,0.6335,0.87,1.1022
"8","3m-5m",669,2540519084,368922003,146439618,27338540,15310443.65,669,669,4.32445440956652,0.606968609865471,0.34102577373932,0.561850758336424,3797487.4200299,0.285,0.402,0.556,0.789,1.0076
"10","5m-10m",326,2271584827,266362139,102673551,15245468,11238880.01,326,326,4.50740797546012,0.502088957055215,0.255367213245466,0.508609499685497,6968051.61656442,0.214,0.33825,0.4625,0.60725,0.8595
"4","10m+",152,3114828695,233976003,94658762,33637407,7844295.2,158,152,3.90661184210526,0.309197368421053,0.201042087764308,0.650206335166917,20492294.0460526,0.096,0.151,0.268,0.42025,0.5348
