"","cat","count","sales.price","market.val","assessed.val","exempt.val","prop.tax","tax.units","sales.units","tax.rate","tax.rate2_mean","sd.tax.rate2","tax.var","av_price","X10.","X25.","X50.","X75.","X90."
"1","0-100",26,12531605,345061000,139446502,27194472,14429998.46,4931,4910,4.01076923076923,217.204576923077,247.789642845567,1.14081225338692,2552.2617107943,3.611,11.718,107.3405,338.363,609.4415
"3","100-250",4183,810091606,52778948903,20730933742,2557208239,2336232413.54,831969,4293,4.4149431030361,1.46337724121444,0.996055016101638,0.680654986321247,188700.583740974,0.8276,1.073,1.34,1.668,2.0996
"6","250-500",4172,1507621535,88855745324,35188621021,2805389445,4162864419.35,840911,4172,4.57781208053691,1.2946478906999,0.878685149461845,0.678705890438531,361366.619127517,0.55,0.76675,1.077,1.67125,2.2469
"9","500-750",2176,1352783012,74042087222,29186084134,1739355391,3528276980.1,457766,2185,4.63925091911765,1.22259375,0.617896620775286,0.505398151082717,619122.659954233,0.484,0.7605,1.182,1.58425,2.0005
"11","750-1m",1138,1250359299,41129680440,16311024572,879957680,1983663648.86,216570,1469,4.57913971880492,1.06290509666081,0.549096026729667,0.516599297956789,851163.579986385,0.4567,0.70875,1.017,1.33175,1.6528
"5","1m-1.5m",909,1239343074,31194240000,12299729145,640928769,1498738788.31,134664,995,4.65809350935093,0.886326732673267,0.422570104655374,0.476765609202435,1245570.92864322,0.4372,0.628,0.828,1.072,1.3832
"2","1.5m-2m",525,915291187,19560421000,7693322046,247513866,957158641.48,69388,525,4.73650857142857,0.78583619047619,0.333352889124648,0.424201497926237,1743411.7847619,0.4074,0.576,0.738,0.963,1.217
"7","2m-3m",496,1208880331,17015698000,6708592586,260983057,828840205.04,52680,496,4.64198588709677,0.673816532258064,0.30691851418967,0.45549270386872,2437258.73185484,0.3255,0.462,0.632,0.8585,1.0725
"8","3m-5m",270,1040411427,10115957000,3909514121,83739281,491803355.63,25347,270,4.68727777777778,0.561914814814815,0.254278665162174,0.4525217318678,3853375.65555556,0.2997,0.3905,0.5245,0.69175,0.8684
"10","5m-10m",148,976465447,5363772000,2050669831,22262920,260751708.46,11542,148,4.79702702702703,0.421635135135135,0.195203962706816,0.462968918954662,6597739.50675676,0.2018,0.28575,0.412,0.5535,0.6583
"4","10m+",76,1609071272,4114410000,1581167040,328372903,161046686.29,14152,76,4.67676315789474,0.237289473684211,0.147141547795717,0.620093026088194,21171990.4210526,0.0405,0.121,0.2245,0.369,0.446
