"","cat","count","sales.price","market.val","assessed.val","exempt.val","prop.tax","tax.units","sales.units","tax.rate","tax.rate2_mean","sd.tax.rate2","tax.var","av_price","X10.","X25.","X50.","X75.","X90."
"1","0-100",686,137087437,337728492,13367350,347090,2494291.21,1749,1736,0.786327988338192,1.89741545189504,0.981025627913055,0.517032591324823,78967.4176267281,0.7505,1.14925,1.799,2.4295,3.1415
"3","100-250",5742,2150502362,2689618834,125282150,4405049,23156426.41,11703,11566,0.887322873082287,1.17314036920933,0.560456535741528,0.477740388491839,185933.111015044,0.532,0.845,1.094,1.435,1.8499
"6","250-500",10348,5884653909,5616808452,262685849,11382663,48142152.52,16597,16301,0.887597640003869,0.872342578275995,0.333224336082948,0.381987930408598,360999.564996012,0.4287,0.715,0.898,1.057,1.204
"9","500-750",3181,2443777586,2167083034,94515880,2907674,17549384.08,4117,3965,0.850571428571429,0.776731845331657,0.277655924953271,0.357466900091775,616337.348297604,0.328,0.639,0.828,0.959,1.067
"11","750-1m",1162,1204717348,1041390878,42053796,893242,7885127.3,1452,1400,0.813233620689655,0.719721170395869,0.302254716379783,0.419960852636213,860512.391428571,0.246,0.53425,0.77,0.903,1.0379
"5","1m-1.5m",465,760613530,582809200,20354714,410232,3820764.45,647,615,0.720821120689655,0.559361290322581,0.334589188741163,0.598162930702993,1236769.96747967,0.1762,0.269,0.558,0.781,0.9414
"2","1.5m-2m",164,401025234,289734200,9827551,207143,1842981.52,247,234,0.678110429447853,0.491890243902439,0.299646356226703,0.609173204675583,1713783.05128205,0.1606,0.24,0.4195,0.73575,0.8614
"7","2m-3m",112,385294323,302274200,9708977,100480,1840699.83,173,157,0.652544642857143,0.444035714285714,0.349529050683283,0.787164274039406,2454103.96815287,0.1215,0.2305,0.383,0.60425,0.7269
"8","3m-5m",78,378585112,328383000,8902887,26262,1700495.05,109,103,0.588480519480519,0.433910256410256,0.267913156403263,0.617439095862152,3675583.61165049,0.2157,0.2765,0.37,0.5175,0.7803
"10","5m-10m",62,512731575,388364200,12113330,9480,2318734.57,81,75,0.622983870967742,0.476112903225806,0.313293352544879,0.658023234451795,6836421,0.1613,0.28875,0.4115,0.55325,0.8324
"4","10m+",32,599880250,423590000,12455145,6600,2384767.77,36,34,0.56203125,0.42515625,0.181584799238582,0.427101328602324,17643536.7647059,0.2049,0.31225,0.3795,0.55975,0.683
