"","Type","Count","Sales.price","Market.val","Property.tax","Assessed.val","Exempt.val","Tax.units","Sales.units","tax.rate","tax.rate2","tax.rate3","tax.rate4","tax.rate5","mkt_sal_pct","exmp_pct"
"1","01  ONE FAMILY DWELLINGS",10486,6511046987,6269951644,53631864.15,290554136,10594519,10761,10554,0.86,0.82,0.81,0.91,0.99,96.3,3.65
"2","02  TWO FAMILY DWELLINGS",9098,6292434775,5915531741,46262614.7,247892534,6400580,18809,18281,0.78,0.74,0.71,0.85,0.92,94.01,2.58
"3","03  THREE FAMILY DWELLINGS",2448,2055386904,1982301105,13241345.86,72820959,3700816,7341,7351,0.67,0.64,0.65,0.74,0.86,96.44,5.08
"4","04  TAX CLASS 1 CONDOS",1025,503169138,453952556,2928421.73,21570713,6284281,1026,1025,0.65,0.58,0.58,0.68,0.66,90.22,29.13
"5","06  TAX CLASS 1 - OTHER",40,23333534,14858000,91182.3,475974,0,40,40,0.61,0.39,0.39,0.62,0.48,63.68,0
"6","07  RENTALS - WALKUP APARTMENTS",2327,6717686971,2108632127,63325994.43,533716002,41098384,26669,26014,3,0.94,0.92,2.82,1.31,31.39,7.7
"7","08  RENTALS - ELEVATOR APARTMENTS",373,12390883504,3835513699,161636998.66,1395547765,138161544,35088,34541,4.21,1.3,1.28,4.05,1.53,30.95,9.9
"8","09  COOPS - WALKUP APARTMENTS",2388,1213619691,14291897000,551996570.01,5208517733,914495404,211278,3099,3.86,45.48,0.67,3.74,1.37,1177.63,17.56
"9","10  COOPS - ELEVATOR APARTMENTS",11731,10709230104,330224123889,15671810275.51,130590587007,8678410619,2448642,16440,4.75,146.34,0.98,4.72,1.67,3083.55,6.65
"10","11A CONDO-RENTALS",8,85995000,23885103,981555.23,9490874,1855283,81,77,4.11,1.14,1.09,4.37,1.63,27.77,19.55
"11","12  CONDOS - WALKUP APARTMENTS",651,371080729,60246849,1953852.63,24169977,8970813,1197,651,3.24,0.53,0.29,3.53,0.63,16.24,37.12
"12","13  CONDOS - ELEVATOR APARTMENTS",8977,15606495322,2387661915,88083565.72,991722472,306513871,9901,9081,3.69,0.56,0.52,3.47,0.68,15.3,30.91
"13","14  RENTALS - 4-10 UNIT",467,950424193,411011874,8604306.31,69093569,2160030,2510,1826,2.09,0.91,0.66,2.32,0.96,43.25,3.13
"14","15  CONDOS - 2-10 UNIT RESIDENTIAL",922,1139588910,279852540,5567709.62,72251638,28940011,950,922,1.99,0.49,0.47,1.62,0.42,24.56,40.05
"15","16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT",43,259026261,49113360,1092420.88,10227932,1729909,46,43,2.22,0.42,0.39,2.45,0.95,18.96,16.91
"16","17  CONDO COOPS",1178,1020062121,48389366303,2363866269.44,19356514131,967822813,284673,1178,4.89,231.74,0.96,4.69,1.32,4743.77,5
