"","Build.class","Count","Market.value","Assessed.val","Assessed.val2","Exempt.val","Resi.units","Total.units","comm.units"
"1","A0",6677,3969129247,199580331,199580331,21846777,6677,6677,0
"2","A1",123595,70636887917,3419937224,3419937224,308666130,123595,123595,0
"3","A2",49585,25213598928,1321879958,1321879958,163246548,49585,49585,0
"4","A3",6914,8820977250,430280717,430280717,17139691,6914,6914,0
"5","A4",4080,14839846143,430034867,430034867,29679326,4080,4080,0
"6","A5",97689,46789660777,2288809755,2288809755,241655088,97688,97688,0
"7","A6",964,202324674,10089294,10089294,1455288,964,964,0
"8","A7",375,2206730403,85005086,85005086,9623875,375,375,0
"9","A8",29,595364100,31492472,31492472,6167240,4010,4045,35
"10","A9",25966,15017157011,632585177,632585177,61695310,25966,25966,0
"11","B1",84752,58874267991,2608317727,2608317727,222796545,169502,169502,0
"12","B2",78459,45769665261,2198981849,2198981849,199224912,156872,156872,0
"13","B3",59738,39395465332,1582188198,1582188198,123469412,119474,119474,0
"14","B9",25977,19970342932,719165921,719165921,56750758,51952,51952,0
"15","C0",73228,62980255844,2455058366,2455058366,282454737,219678,219678,0
"16","C1",14966,17398718879,6002596583,5209145184,1038084532,287888,287934,46
"17","C2",13521,8254748287,1292135002,1292135002,110568083,78380,78386,6
"18","C3",16329,7206518056,1244058694,1244058694,129847489,65316,65316,0
"19","C4",3132,5460264452,1588342126,1390825589,200441006,42329,43394,1065
"20","C5",2746,4243329568,1068637182,977510757,46239479,30423,30737,314
"21","C6",3248,6915060614,2084226109,1849006794,278492745,64182,65121,939
"22","C7",7582,16207383381,5924516159,5110042890,410240238,141867,158963,17096
"23","C8",17,79885000,10121291,9793059,659899,174,188,14
"24","C9",419,1108142733,487566377,426021017,98295633,18921,18991,70
"25","D0",268,2764082347,885515492,778897628,7991004,4983,5431,448
"26","D1",5043,18772858389,8418373434,7158589380,2154075854,340031,340134,103
"27","D2",84,408546023,111379432,97781157,20823942,1917,2002,85
"28","D3",980,11586419745,5202760316,4427877674,2797874487,214438,214597,159
"29","D4",3527,49675015003,22132960664,19293891970,3113792854,388426,392269,3843
"30","D5",314,2560432889,1111889357,950461355,220800678,17036,17324,288
"31","D6",757,19738839963,8850465907,7679720349,2025378184,134879,137869,2990
"32","D7",1775,13633796537,6075312571,5221806308,1387390286,133618,139918,6300
"33","D8",162,7906003550,3557701597,3116799567,1624997525,35511,36035,524
"34","D9",1070,8749386139,3852833427,3334501482,1222896342,78353,80027,1674
"35","G0",2654,613863442,14780938,14780938,168142,532,558,26
"36","R0",7145,0,0,0,0,120,122,2
"37","R1",10865,3576336560,840476025,840476025,301832610,10984,10986,2
"38","R2",11791,1102682674,496207582,437354596,180671989,12675,12675,0
"39","R3",22473,8047056870,369267952,369267952,100137758,22577,22587,10
"40","R4",152793,33615548351,15127000232,13719515760,3588362768,160098,160114,16
"41","R6",1298,933190002,35204892,35204892,3739509,1312,1312,0
"42","R7",37,31018047,1232434,1232434,280372,0,37,37
"43","R8",1051,622489955,133867805,133867805,21362844,1,1079,1078
"44","R9",328,5188667449,2288473035,2038527246,301430075,30405,30433,28
"45","RR",347,6102076114,2735166146,2411220593,1639896156,33709,34024,315
"46","S0",211,236064000,9074455,9074455,142887,211,633,422
"47","S1",6091,4838852209,199177354,199177354,8002367,6091,12182,6091
"48","S2",14591,10964395195,451486559,451486559,12560705,29182,43773,14591
"49","S3",3045,2577067778,387223337,387223337,19656232,9135,12180,3045
"50","S4",2576,2358699108,372851318,372851318,22947688,10307,12884,2577
"51","S5",2586,3125445657,483883421,483883421,26632255,14047,16633,2586
"52","S9",4173,4347415921,759917791,758091824,22673347,15431,25399,9968
"53","V0",22493,9568584284,271266972,271266972,172884865,10,10,0
"54","V2",148,17274700,670019,670019,2211,0,0,0
"55","V3",231,354990800,17335992,17335992,14352871,0,0,0
"56","Z0",421,150054454,3532504,3532504,658831,2,3,1
